pmid,Year,Hypothesis,Phase,Outcome,plan.con.median,plan.con.perc.surv,plan.con.time,plan.int.median,plan.int.perc.surv,plan.int.time,plan.hr,est.hr,Type1,Sided,Type2,accural,followup,ss,ss-achieved,final.con.median,final.con.perc.surv,final.con.time,final.int.median,final.int.perc.surv,final.int.time,final.hr,est.final.hr,glioma,glioma2,glioma3,diagnosis,occur,mgmt,age,age2,Difference,% difference,Difference >2,ss difference reason ,reason
18248979,2008,Superiority,3,OS,12,,,18,,,0.667,,5,Two,80,66,48,212,193,23.9,,,27.3,,,0.77,,new anaplastic astrocytoma,New AA,AA,Diffuse Glioma,New,,Adults and elderly,,-19,-8.962264151,Under-enrolled,Decreasing accrual: unjustified ,Resource withdrawal / slow accrual
19016015,2008,Superiority,3,PFS,,,,,,,0.75,,5,One,80,30,12,500,65,7.6,,,6.3,,,1.206349206,1.206349206,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-435,-87,Under-enrolled,The trial was terminated after publication of another trial.,Interim / ethical / early events
19204207,2009,Superiority,2,PFS,,15,6,,30,6,0.63463187,0.63463187,5,N/A,80,23,6,100,110,1.8,11.4,6,2.4,24.1,6,0.75,0.75,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,10,10,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
19688297,2010,Superiority,3,PFS,2.30137,,,3.68219,,,0.625000339,0.625000339,,N/A,90,21,,240,240,1.38082,7,6,1.38082,5,6,0.93,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,0,0,NO,N/R,Met target
19695435,2009,Superiority,2,PFS,,40,6,,59,6,0.575835511,0.575835511,5,N/A,,51,14,140,52,5.5,40,6,6.7,56,6,0.820895522,0.820895522,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-88,-62.85714286,Under-enrolled,"The trial was terminated prematurely:The publication of new standard-of-care results (Stupp et al., 2005), Ethical concerns and feasibility reassessment, Early interim analysis showed no clear benefit and crossing survival curves, suggesting futility",Interim / ethical / early events
19901110,2009,Superiority,3,PFS,30,,,45,,,0.67,,5,N/A,80,68,54,318,274,42.7,,,43.8,,,1.2,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,Adults and elderly,,-44,-13.83647799,Under-enrolled,"study site closure, missing data, or withdrawal of consent.",Resource withdrawal / slow accrual
20124186,2010,Superiority,3,PFS,,,,,,,0.689655172,0.689655172,2.5,One,80,17,8.7,397,266,1.6,19,6,1.5,11.1,6,1.28,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-131,-32.99748111,Under-enrolled,"The trial was terminated prematurely: at interim futility analysis based on the recommendation of the Data Monitoring Committee. At that point, 43% of enrolled patients had experienced progression or death, and conditional power to demonstrate the hypothesized treatment benefit was insufficient.",Interim / ethical / early events
20511192,2010,Superiority,3,OS,7,,,10.5,,,0.67,,5,Two,80,21,12,270,276,8.8,,,9.1,,,0.89,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,6,2.222222222,Over-accrued,N/R,Met target
20855843,2010,Superiority,3,OS,,,,,,,0.75,,5,Two,80,48,14,500,447,6.7,,,7.2,,,0.91,,recurrent high-grade glioma,Recurrent HGG,HGG,Diffuse Glioma,Recurrent,,Adults and elderly,,-53,-10.6,Under-enrolled,"The trial was closed after 447 patients due to reaching the target number of deaths (n = 382) required for the final analysis. There was no early stopping for futility or efficacy, and the slight shortfall from the planned 500 was due to adequate event accrual and sufficient power already being achieved.",Interim / ethical / early events
20980335,2011,Superiority,2,PFS,,,,,,,,,5,Two,,,48,141,145,,27,6,,33,6,0.846738266,0.846738266,recurrent glioblastoma/anaplastic astrocytoma,Recurrent HGG,HGG,Diffuse Glioma,Recurrent,,Adults and elderly,,4,2.836879433,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
20980335,2011,Superiority,2,PFS,,,,,,,,,5,Two,,,48,141,145,,27,6,,20,6,1.229204121,1.229204121,recurrent glioblastoma/anaplastic astrocytoma,Recurrent HGG,HGG,Diffuse Glioma,Recurrent,,Adults and elderly,,4,2.836879433,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
21052775,2011,Superiority,3,OS,12,,,18,,,0.67,,10,One,80,29,36,168,76,18.9,27.8,24,28.4,50.9,24,0.665492958,0.665492958,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-92,-54.76190476,Under-enrolled,"The trial was terminated prematurely: excessive hematologic toxicity, including a treatment-related death.",Interim / ethical / early events
22578793,2012,Non-inferiority,3,OS,7,,,5.25,,,1.333333333,,5,One,80,48,25.2,412,373,9.6,37.4,12,8.6,71.7,12,1.09,,new glioblastoma/anaplastic astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Elderly,Elderly ,-39,-9.466019417,Under-enrolled,Post-randomization exclusions,Post-randomization exclusion
22608262,2012,Superiority,3,OS,,,,,,,0.63,,5,Two,80,32,39,236,237,6,20,12,6.6,20,12,0.86,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,1,0.423728814,NO,N/R,Met target
22851558,2012,Superiority,3,OS,,70,60,,85,60,0.455649976,0.455649976,5,Two,90,60,70.8,252,251,90,63,60,,72,60,0.72,,new low-grade glioma (supratentorial),New LGG,LGG,Diffuse Glioma,New,,Adults and elderly,,-1,-0.396825397,NO,N/R,Met target
22877848,2012,Superiority,3,OS,,10,12,,20,12,0.698970004,0.698970004,5,Two,90,112,,480,342,6,17,12,7.5,23,12,0.85,,new glioblastoma (grade IV astrocytoma),New GBM,GBM,Diffuse Glioma,New,,Elderly,Elderly ,-138,-28.75,Under-enrolled,"partly to the results of the EORTC-NCIC trial, which favoured combined temozolomide and radiotherapy, and partly to patients with glioblastoma frequently being judged too frail",Resource withdrawal / slow accrual
22877848,2012,Superiority,3,OS,,10,12,,20,12,0.698970004,0.698970004,5,Two,90,112,,480,342,6,17,12,8.3,27,12,0.7,,new glioblastoma (grade IV astrocytoma),New GBM,GBM,Diffuse Glioma,New,,Elderly,Elderly ,-138,-28.75,Under-enrolled,"partly to the results of the EORTC-NCIC trial, which favoured combined temozolomide and radiotherapy, and partly to patients with glioblastoma frequently being judged too frail",Resource withdrawal / slow accrual
23071237,2013,Superiority,3,OS,24,,,36,,,0.67,,5,Two,80,80,140,350,368,30.6,,,42.3,,,0.75,,new anaplastic oligodendroglioma,New 1p/19q-codel,1p/19q-codel,Diffuse Glioma,New,,Adults and elderly,,18,5.142857143,Over-accrued,N/R,Met target
23071247,2013,Superiority,3,OS,45.6,,,68.4,,,0.67,,5,Two,80,96,135.6,292,291,56.4,,,55.2,,,0.79,,new anaplastic oligodendroglioma,New 1p/19q-codel,1p/19q-codel,Diffuse Glioma,New,,Adults and elderly,,-1,-0.342465753,NO,N/R,Met target
23228988,2013,Superiority,II/III,OS,,,,,,,0.74,,5,One,75,60,24,310,111,27.4,51.9,24,22.4,46.2,24,1.223214286,1.223214286,new glioblastoma/anaplastic astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,-199,-64.19354839,Under-enrolled,"The trial was terminated prematurely: during phase II due to unexpectedly high toxicity in both arms and the approval of temozolomide in Japan, rendering the study less clinically relevant.",Interim / ethical / early events
23649997,2013,Superiority,2,OS,,,,,,,,,,N/A,,23,33,,58,12.5,6.7,24,16,23.1,24,0.78125,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
23782513,2013,Superiority,2,OS,,,,,,,,,,N/A,,,,70,73,12.63,,,17.76,,,0.64,,new glioblastoma/anaplastic astrocytoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,3,4.285714286,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
23850491,2013,Superiority,3,PFS,,,,,,,0.6,,5,N/A,90,17,14.5,250,250,8.93,,,10.3,,,1.53,,new glioblastoma (operable),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,0,0,NO,N/R,Met target
23857975,2013,Superiority,2,PFS,,60,24,,75,24,0.563170795,0.563170795,5,Two,80,70,120,220,224,,66,60,,70,60,0.858391545,0.858391545,high-risk medulloblastoma,New or Recur MB,MB,MB,New or Recur,,Pediatric,,4,1.818181818,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
23940216,2013,Superiority,3,PFS,3,,,5.4,,,0.55,,2.5,Two,80,13,,300,325,2.7,,,3.07,,,1.05,,Recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,25,8.333333333,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
23940216,2013,Superiority,3,PFS,3,,,5.4,,,0.55,,2.5,Two,80,13,,300,325,2.7,,,4.17,,,0.76,,Recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,25,8.333333333,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
24101040,2013,Superiority,3,OS,14,,,17.5,,,0.8,,2.5,One,80,29,31.5,750,833,16.6,,,14.9,,,1.03,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,83,11.06666667,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
24248532,2014,Superiority,2,OS,,,,,,,,,5,Two,,26,44.4,,68,,18.2,24,,34.3,24,0.628041506,0.628041506,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
24552317,2014,Superiority,3,OS,14,,,18.7,,,0.75,,4.6,Two,80,25,20.5,612,621,16.1,,,15.7,,,1.13,,new glioblastoma (grade IV astrocytoma),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,9,1.470588235,Over-accrued,Not Significant/Not justified,Met target
24552317,2014,Superiority,3,PFS,6.7,,,9.6,,,0.7,,0.4,Two,80,25,20.5,612,621,7.3,,,10.7,,,0.79,,new glioblastoma (grade IV astrocytoma),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,9,1.470588235,Over-accrued,Not Significant/Not justified,Met target
24552318,2014,Superiority,3,OS,14.6,,,18.3,,,0.8,,4,Two,80,42,17,920,921,16.7,66.3,12,16.8,72.4,12,0.88,,new glioblastoma (supratentorial),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,1,0.108695652,NO,N/R,Met target
24552318,2014,Superiority,3,PFS,7,,,9.1,,,0.77,,1,Two,80,42,17,920,921,6.2,,,10.6,,,0.64,,new glioblastoma (supratentorial),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,1,0.108695652,NO,N/R,Met target
24560760,2014,Non-inferiority,2,OS,,,,,,,,,5,Two,80,48,9,62,71,9.5,13.1,18,7.8,10.9,18,1.14,,New diffuse intrinsic pontine glioma,New DIPG,DIPG,Diffuse Glioma,New,,Pediatric,,9,14.51612903,Over-accrued,Adjustment to Inclusive enrollment of all eligible consecutive children over the study period,Met target
24723487,2014,Superiority,2,PFS,,50,6,,66,6,0.59946207,0.59946207,5,N/A,80,21,24,120,120,5.2,41.7,6,7.1,61.7,6,0.82,,new glioblastoma (unresectable),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,0,0,NO,N/R,Met target
25035291,2014,Superiority,2,OS,,35,9,,55,9,0.569465043,0.569465043,10,N/A,90,23,22,132,148,8,43,9,8,38,9,0.43,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,16,12.12121212,Over-accrued,"The study design was amended mid-trial from a two-arm to a three-arm study (adding lomustine alone as a third group) after regulatory developments regarding bevacizumab. This amendment, along with the need to rebalance randomization, led to additional enrollment beyond the original target.",Met target
25035291,2014,Superiority,2,OS,,35,9,,55,9,0.569465043,0.569465043,10,N/A,90,23,22,132,148,8,43,9,12,63,9,0.37,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,16,12.12121212,Over-accrued,"The study design was amended mid-trial from a two-arm to a three-arm study (adding lomustine alone as a third group) after regulatory developments regarding bevacizumab. This amendment, along with the need to rebalance randomization, led to additional enrollment beyond the original target.",Met target
25140039,2015,Superiority,2,PFS,,,,,,,,,5,N/A,87,35,,120,119,1.87,23,6,0.99,3,6,0.53,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-1,-0.833333333,NO,N/R,Met target
25140039,2015,Superiority,2,PFS,,,,,,,,,5,N/A,87,35,,120,119,1.87,23,6,1.53,10,6,0.82,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-1,-0.833333333,NO,N/R,Met target
25163906,2014,Superiority,3,OS,23,,,32.4,,,0.71,,5,Two,80,30.5,29,504,545,26.3,56,24,26.3,56,24,1.02,,new glioblastoma (supratentorial),New GBM - mMGMT,GBM,Diffuse Glioma,New, - mMGMT,Adult only,,41,8.134920635,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
25239666,2015,Superiority,2,PFS,3,,,5,,,0.6,,5,Two,80,18,,160,178,9.7,,,6.6,,,1.3,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,all,,18,11.25,Over-accrued,N/R,Met target
25239666,2015,Superiority,2,PFS,3,,,5,,,0.6,,5,Two,80,18,,160,178,7.4,,,8.3,,,0.8,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,all,,18,11.25,Over-accrued,N/R,Met target
25239666,2015,Superiority,2,PFS,3,,,5,,,0.6,,5,Two,80,18,,160,178,8.7,,,7.6,,,1.2,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,all,,18,11.25,Over-accrued,N/R,Met target
25338498,2014,Superiority,2,PFS,,15,6,,30,6,0.63463187,0.63463187,5,N/A,80,21,11.4,83,84,2.5,3.8,6,4.5,20.7,6,0.49,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,1,1.204819277,NO,N/R,Met target
25407559,2015,Superiority,3,OS,12,,,16.8,,,0.71,,5,One,92.5,48,60,375,183,10,,,11,,,0.77,,new glioblastoma/gliosarcoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-192,-51.2,Under-enrolled,"The trial was terminated prematurely: due to futility at interim analysis; a 40% survival benefit from adding O6-BG was statistically ruled out (p = 0.002), making further accrual unjustified.",Interim / ethical / early events
25616647,2015,Superiority,3,PFS,,26.9,12,,50,12,0.527893379,0.527893379,5,Two,80,37,12,150,149,5.8,20.3,12,7.7,25.6,12,0.953,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-1,-0.666666667,NO,N/R,Met target
25655102,2015,Superiority,2,PFS,4.55,,,7.3,,,0.63,,5,Two,80,33,12,166,105,1.95,16,6,1.8,25,6,1.16,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adult only,,-61,-36.74698795,Under-enrolled,The trial was terminated prematurely: withdrawal of support,Resource withdrawal / slow accrual
25762461,2015,Superiority,2,OS,,,,,,,,,,N/A,,48,30,264,265,13.4,,,16.3,,,0.69,,New glioblastoma,New GBM - umMGMT,GBM,Diffuse Glioma,New, - umMGMT,Adults and elderly,,1,0.378787879,NO,N/R,Met target
25762461,2015,Superiority,2,OS,,,,,,,,,,N/A,,48,30,264,265,13.4,,,14.5,,,0.86,,New glioblastoma,New GBM - umMGMT,GBM,Diffuse Glioma,New, - umMGMT,Adults and elderly,,1,0.378787879,NO,N/R,Met target
25910950,2015,Superiority,2,OS,,,,,,,,,10,One,88,28,15,114,106,15.9,,,16.6,,,0.96,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-8,-7.01754386,Under-enrolled,The trial was terminated prematurely: due to slow accrual and futility observed in an unplanned interim analysis,Resource withdrawal / slow accrual
26130744,2015,Superiority,2,PFS,,35,6,,50,6,0.62,0.660252022,10,Two,70,16,32,120,122,3.5,18,6,3.5,15,6,0.92,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,2,1.666666667,NO,N/R,Met target
26392096,2015,Non-inferiority,3,OS,6,,,6.9,,,1.61,,5,Two,80,22.8,6,159,98,6.4,,,7.9,,,0.81,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Elderly,Elderly ,-61,-38.36477987,Under-enrolled,results of the first interim analysis were significant at the 2.9% level,Interim / ethical / early events
26716896,2016,Superiority,2,PFS,,,,,,,,,5,Two,,37,7.18,80,53,1.9332,13.6,6,6.789,54.5,6,0.315,,recurrent high-grade glioma,Recurrent HGG,HGG,Diffuse Glioma,Recurrent,,Adults and elderly,,-27,-33.75,Under-enrolled,Interim / ethical / early events,Interim / ethical / early events
26976423,2016,Superiority,2,PFS,,40,6,,65,6,0.470137808,0.470137808,5,Two,80,26,,172,182,5.99,42.6,6,9.7,79.3,6,0.57,,new glioblastoma,New GBM - umMGMT,GBM,Diffuse Glioma,New, - umMGMT,Adults and elderly,,10,5.813953488,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
27406589,2016,Superiority,2,PFS,,,,,,,,,10,One,90,60,,102,71,4.1,,,4.3,,,0.953488372,0.953488372,Recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-31,-30.39215686,Under-enrolled,Interim / ethical / early events,Interim / ethical / early events
27686946,2016,Superiority,3,PFS,,45,60,,58,60,0.68,0.682181497,5,Two,80,54,48,466,477,46,,,39,,,1.16,,new glioma (grade II),New LGG,LGG,Diffuse Glioma,New,,Adults and elderly,,11,2.360515021,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
27690294,2017,Superiority,3,PFS,,30,12,,50,12,0.575716642,0.575716642,5,One,80,46,10.586,180,180,5.4,22.6,12,8.1,28.3,12,0.745,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,0,0,NO,N/R,Met target
27770279,2017,Superiority,2,PFS,,20,6,,35,6,0.652291161,0.652291161,10,N/A,90,48,18,121,123,4.7,39,6,4.1,38.6,6,1.146341463,1.146341463,recurrent glioblastoma/gliosarcoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,2,1.652892562,NO,N/R,Met target
27994066,2017,Superiority,3,OS,36,,,54,,,0.67,,5,One,90,48,46.8,432,201,45.6,,,46.8,,,0.94,,New anaplastic astrocytoma or oligoastrocytoma,New G3G,G3G,Diffuse Glioma,New,,Adults and elderly,,-231,-53.47222222,Under-enrolled,"The trial was terminated prematurely: due to poor accrual, especially following the approval of temozolomide for glioblastoma in 2005, which led to widespread adoption of RT+TMZ as standard of care in high-grade gliomas.",Resource withdrawal / slow accrual
28142059,2017,Superiority,2,OS,,20,24,,28,24,0.790938045,0.790938045,5,Two,80,36,24,80,81,18,26,24,17,31,24,1.2,,New glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,1,1.25,NO,N/R,Met target
28296618,2017,Superiority,3,OS,6,,,8,,,0.75,,5,Two,90,44.4,17,560,562,7.6,22,12,9.3,37.8,12,0.67,,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Elderly,Elderly ,2,0.357142857,NO,N/R,Met target
28844499,2017,Superiority,3,OS,15,,,21,,,0.714,,2.5,One,80,22,24,374,405,17.4,,,17.4,,,0.89,,new glioblastoma (EGFRvIII-expressing),New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,31,8.288770053,Over-accrued,"patients were randomized before confirming minimal residual disease (MRD) status through central review. To reach the required 374 MRD patients, more EGFRvIII-positive patients had to be enrolled and later classified.",Met target
29126203,2018,Superiority,2,PFS,6.7,,,9.6,,,0.7,,15,One,85,9,27.7,180,176,10.2,,,8.2,,,1.15,,New glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-4,-2.222222222,Under-enrolled,"Post-randomization exclusions: such as ineligibility, progression or death before randomization, or inadequate tissue submission",Post-randomization exclusion
29141164,2017,Superiority,3,OS,,40,9,,51.7,9,0.72,0.719981532,2.5,One,80,37,24,433,437,8.6,51.2,9,9.1,47.5,9,0.95,,Recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,4,0.923787529,Over-accrued,Not Significant/Not justified,Met target
29260225,2017,Superiority,3,PFS,7,,,10.7,,,0.78,,4.6,Two,80,65,40,700,695,4,37,6,6.7,56,6,0.63,,new supratentorial glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,-5,-0.714285714,Under-enrolled,Not Significant/Not justified,No reason
29298660,2018,Superiority,2,PFS,7,,,10,,,0.7,,10,One,80,36,12,162,,,,,,,,,,Recurrent glioblastoma ,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,Missing achieved ss,Missing achieved ss,Missing,N/R,Met target
29404979,2018,Superiority,3,OS,16,,,20.3,,,0.79,,5,Two,80,40,,708,712,13.1,,,11.3,,,1.16,,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,4,0.564971751,Over-accrued,Not Significant/Not justified,Met target
29412784,2018,Superiority,2,PFS,,30,12,,46,12,0.65,0.644972035,5,Two,60,40,12,120,121,11.8,48,12,8.2,38,12,1.44,,New high-grade glioma,New HGG,HGG,Diffuse Glioma,New,,Pediatric,Pediatric,1,0.833333333,NO,N/R,Met target
29557060,2018,Superiority,2,OS,,65,12,,75,12,0.667812166,0.667812166,20,One,80,18,24,120,122,20.3,,,24,,,1,,New glioblastoma ,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,2,1.666666667,NO,N/R,Met target
29648580,2018,Superiority,2,OS,10,,,12,,,0.833333333,,10,Two,80,30,,60,75,12.1,54,12,12.2,56,12,1.09,,new glioblastoma (supratentorial),New GBM,GBM,Diffuse Glioma,New,,Elderly,Elderly ,15,25,Over-accrued,"Protocol amendment restricted enrollment to patients with unmethylated MGMT promoters. This amendment aimed to ensure ethical treatment alignment, as patients with methylated MGMT promoters benefit more from temozolomide, making them ineligible for the ARTE trial’s intended comparison.",Met target
29801515,2018,Superiority,2,OS,14.6,,,26.6,,,0.55,,5,Two,80,30,24,122,,,,,,,,,,New glioblastoma ,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing achieved ss,Missing achieved ss,Missing,N/R,Met target
29936695,2018,Superiority,2,OS,,,,,,,,,5,N/A,,68,11.4,,83,18.07,,,25.18,,,0.717633042,0.717633042,New glioblastoma ,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
30115593,2018,Superiority,2,OS,,50,12,,65,12,0.621488377,0.621488377,10,One,90,53,28,144,155,14.8,61,12,12.9,55,12,1.1,,"recurrent glioma (grade II/III, w/o 1p/19q co-deletion)",Recurrent AA,AA,Diffuse Glioma,Recurrent,,Adult only,,11,7.638888889,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
30159779,2018,Superiority,2,PFS,,,,,,,,,,N/A,,37,14,100,43,6.9,,,7.7,,,0.73,,new or recurrent glioblastoma,New or Recur GBM,GBM,Diffuse Glioma,New or Recur,,Adults and elderly,,-57,-57,Under-enrolled,Interim / ethical / early events,Interim / ethical / early events
30266892,2018,Superiority,2,OS,6.57,,,9,,,0.73,,10,One,70,36,16,200,123,5.5,,,6.4,,,1.04,,Recurrent GBM,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-77,-38.5,Under-enrolled,"The trial was terminated prematurely: The trial was amended from phase III to phase II after a related study failed to show OS benefit, and it was terminated early due to high dropout rates during first-line treatment. As a result, only 123 of the planned patients were randomized at progression, and only 98 of 130 required OS events occurred, leaving the study underpowered.",Resource withdrawal / slow accrual
30301187,2018,Superiority,2,PFS,,,,,,,,,5,Two,80,60,12,,76,6.9041,28.4,12,6.7068,24.5,12,1.029417904,1.029417904,new glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
30500939,2019,Superiority,3,OS,6,,,10.6,,,0.57,,5,Two,80,50,7.7,110,88,8,,,8.4,,,1.13,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-22,-20,Under-enrolled,"the need for HLA-A24 positivity, which limited the available patient pool. Many screened patients were excluded for ineligibility or HLA mismatch.",Resource withdrawal / slow accrual
30522967,2019,Superiority,2,OS,7,55.2,6,12,70.7,6,0.58,0.583507898,20,One,80,15,15.4,112,119,5.6,15,12,7.4,38.9,12,0.5,,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adult only,,7,6.25,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
30782343,2019,Superiority,3,OS,,48.9,24,,70,24,0.5,0.498572182,5,Two,80,35,36,128,129,31.4,,,48.1,,,0.6,,new glioblastoma/gliosarcoma,New GBM - mMGMT,GBM,Diffuse Glioma,New, - mMGMT,Adults and elderly,,1,0.78125,NO,N/R,Met target
30786916,2019,Superiority,3,OS,16,,,24,,,0.67,,5,Two,80,36,24,243,,,,,,,,,,new anaplastic astrocytoma/glioblastoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing achieved ss,Missing achieved ss,Missing,N/R,Met target
31054101,2019,Superiority,2,PFS,,21,6,,44,6,0.526051156,0.526051156,5,Two,80,61,12,120,31,,53,6,,15,6,2.988163349,2.988163349,New glioblastoma grade IV ,New GBM,GBM,Diffuse Glioma,New,,Elderly,,-89,-74.16666667,Under-enrolled,"Decreasing accrual : strict eligibility initially limited to elderly/frail patients, high reluctance for biopsy (due to perceived risk or refusal), lack of stereotactic biopsy equipment in some centers, and clinical nihilism leading to supportive care only. Multicenter coordination was also slow.",Resource withdrawal / slow accrual
31290996,2019,Superiority,2,PFS,,,,,,,,,15,N/A,85,60,,111,121,3.2,18.4,6,3.2,28.9,6,0.79,,Recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,10,9.009009009,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
31320597,2019,Superiority,2,OS,15,,,24,,,0.52,,2.5,One,83,30,26,102,117,15,,,17,,,0.87,,New glioblastoma ,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,15,14.70588235,Over-accrued,"Additional patients were enrolled to meet power needs amended during accural (e.g., 70 deaths for ~83% power).",Met target
31386014,2017,Superiority,2,OS,2,,,4,,,0.5,,5,One,80,27,6,60,48,3,,,3.4,,,0.84,,Recurrent glioblastoma ,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,Adults and elderly,,-12,-20,Under-enrolled,"The trial was terminated prematurely:Fewer patients were well enough or eligible to proceed to Part 2 due to progression, poor performance status, or other clinical factors; additionally, some patients declined further therapy or had contraindications to continued bevacizumab.",Resource withdrawal / slow accrual
